GSM,title,condition,tissue,timepoint,replicate
GSM131223,AtGen_6-0011_Control-Shoots-0h_Rep1,control,Shoots,0h,Rep1
GSM131224,AtGen_6-0012_Control-Shoots-0h_Rep2,control,Shoots,0h,Rep2
GSM131225,AtGen_6-0021_Control-Roots-0h_Rep1,control,Roots,0h,Rep1
GSM131226,AtGen_6-0022_Control-Roots-0h_Rep2,control,Roots,0h,Rep2
GSM131227,AtGen_6-0711_Control-Shoots-0.25h_Rep1,control,Shoots,0.25h,Rep1
GSM131228,AtGen_6-0712_Control-Shoots-0.25h_Rep2,control,Shoots,0.25h,Rep2
GSM131229,AtGen_6-0721_Control-Roots-0.25h_Rep1,control,Roots,0.25h,Rep1
GSM131230,AtGen_6-0722_Control-Roots-0.25h_Rep2,control,Roots,0.25h,Rep2
GSM131231,AtGen_6-0111_Control-Shoots-0.5h_Rep1,control,Shoots,0.5h,Rep1
GSM131232,AtGen_6-0112_Control-Shoots-0.5h_Rep2,control,Shoots,0.5h,Rep2
GSM131233,AtGen_6-0121_Control-Roots-0.5h_Rep1,control,Roots,0.5h,Rep1
GSM131234,AtGen_6-0122_Control-Roots-0.5h_Rep2,control,Roots,0.5h,Rep2
GSM131235,AtGen_6-0211_Control-Shoots-1.0h_Rep1,control,Shoots,1.0h,Rep1
GSM131236,AtGen_6-0212_Control-Shoots-1.0h_Rep2,control,Shoots,1.0h,Rep2
GSM131237,AtGen_6-0221_Control-Roots-1.0h_Rep1,control,Roots,1.0h,Rep1
GSM131238,AtGen_6-0222_Control-Roots-1.0h_Rep2,control,Roots,1.0h,Rep2
GSM131239,AtGen_6-0311_Control-Shoots-3.0h_Rep1,control,Shoots,3.0h,Rep1
GSM131240,AtGen_6-0312_Control-Shoots-3.0h_Rep2,control,Shoots,3.0h,Rep2
GSM131241,AtGen_6-0321_Control-Roots-3.0h_Rep1,control,Roots,3.0h,Rep1
GSM131242,AtGen_6-0322_Control-Roots-3.0h_Rep2,control,Roots,3.0h,Rep2
GSM131243,AtGen_6-0811_Control-Shoots-4.0h_Rep1,control,Shoots,4.0h,Rep1
GSM131244,AtGen_6-0812_Control-Shoots-4.0h_Rep2,control,Shoots,4.0h,Rep2
GSM131245,AtGen_6-0821_Control-Roots-4.0h_Rep1,control,Roots,4.0h,Rep1
GSM131246,AtGen_6-0822_Control-Roots-4.0h_Rep2,control,Roots,4.0h,Rep2
